arm,n,median_T_oracle,median_T_plugin,D_M_plugin,ratio
SGD,10000,38.9429,37.7983,0.6563,6.8248
SGD,100000,23.3937,23.4887,0.2714,2.8225
SGD,1000000,21.4718,21.4443,0.1481,1.5402
SGD,10000000,19.5458,19.5230,0.0475,0.4944
SGD,100000000,20.3756,20.3741,0.0820,0.8526
SA-Adam(g=0.75),10000,84.4278,82.7766,0.9182,9.5485
SA-Adam(g=0.75),100000,39.5122,38.9880,0.6465,6.7223
SA-Adam(g=0.75),1000000,24.0425,24.0645,0.2855,2.9686
SA-Adam(g=0.75),10000000,20.3229,20.3452,0.0897,0.9330
SA-Adam(g=0.75),100000000,20.7415,20.7369,0.0996,1.0353
