arm,n,median_T,mean_T,D_M,ratio,NMSE
identity,10000,38.9429,46.7760,0.6706,6.9737,2.8277
identity,100000,23.3937,25.5926,0.2722,2.8302,1.3773
identity,1000000,21.4718,21.5966,0.1608,1.6720,1.1162
identity,10000000,19.5458,20.2251,0.0503,0.5235,1.0360
identity,100000000,20.3756,20.9291,0.0822,0.8552,1.0394
rmsprop,10000,98.2565,344.0071,0.9435,9.8112,20.7138
rmsprop,100000,45.8942,138.2421,0.7483,7.7817,9.0860
rmsprop,1000000,24.8476,35.9878,0.3195,3.3226,2.1221
rmsprop,10000000,20.3478,21.9661,0.1028,1.0690,1.1540
rmsprop,100000000,20.6197,21.2650,0.0948,0.9857,1.0620
sa_adam(g=0.75),10000,84.4278,306.4283,0.9291,9.6610,18.2335
sa_adam(g=0.75),100000,39.5122,123.6043,0.6508,6.7676,7.9968
sa_adam(g=0.75),1000000,24.0425,34.0135,0.2871,2.9854,1.9633
sa_adam(g=0.75),10000000,20.3229,21.8872,0.0907,0.9436,1.1432
sa_adam(g=0.75),100000000,20.7415,21.3598,0.1003,1.0426,1.0651
sa_adam(g=0.85),10000,81.2512,285.3263,0.9196,9.5628,17.4417
sa_adam(g=0.85),100000,35.5860,95.7343,0.6118,6.3617,6.1146
sa_adam(g=0.85),1000000,24.2345,30.4337,0.2989,3.1077,1.7012
sa_adam(g=0.85),10000000,21.0635,22.2606,0.1269,1.3200,1.1511
sa_adam(g=0.85),100000000,21.1758,21.9024,0.1388,1.4435,1.0903
sa_adam(g=0.95),10000,80.2287,247.9058,0.9444,9.8202,15.9419
sa_adam(g=0.95),100000,33.9316,46.2901,0.6342,6.5953,2.5370
sa_adam(g=0.95),1000000,28.6679,31.8358,0.5163,5.3689,1.6800
sa_adam(g=0.95),10000000,27.7407,28.4467,0.4202,4.3699,1.4343
sa_adam(g=0.95),100000000,25.8995,26.7640,0.3893,4.0484,1.3217
