method,n,bias_norm,orc_maha_median,orc_joint95,orc_marg95,plg_maha_median,plg_joint95,plg_marg95,sigmahat_relerr
SA-Adam,1000,0.1791,22.667,0.308,0.714,18.919,0.411,0.754,0.5663
SA-Adam,10000,0.01678,10.979,0.834,0.904,10.627,0.850,0.909,0.2377
SA-Adam,100000,0.001312,8.807,0.922,0.941,8.721,0.928,0.941,0.1114
SA-Adam,1000000,0.0001433,8.520,0.951,0.946,8.523,0.951,0.946,0.08893
SA-Adam,10000000,6.957e-05,8.535,0.952,0.945,8.530,0.952,0.945,0.09809
SA-Adam,100000000,1.287e-05,8.339,0.942,0.951,8.338,0.942,0.951,0.07793
SGD,1000,0.1067,17.474,0.478,0.789,14.955,0.598,0.828,0.4968
SGD,10000,0.01025,10.106,0.884,0.923,9.707,0.897,0.926,0.1801
SGD,100000,0.0007077,8.618,0.936,0.943,8.559,0.937,0.943,0.08872
SGD,1000000,0.0001236,8.396,0.955,0.947,8.373,0.955,0.948,0.08711
SGD,10000000,7.422e-05,8.419,0.959,0.946,8.426,0.958,0.946,0.09725
SGD,100000000,1.298e-05,8.344,0.947,0.950,8.347,0.947,0.950,0.078
