coord,batch_est,batch_cihw,saadam_est,saadam_cihw
0,0.38837,0.00282,0.39179,0.00285
1,1.22169,0.00860,1.23267,0.00868
2,-0.00018,0.00234,-0.00020,0.00237
3,-0.00182,0.00228,-0.00182,0.00231
4,0.22131,0.00575,0.22438,0.00582
5,0.00133,0.00236,0.00121,0.00239
6,-0.00009,0.00224,-0.00018,0.00227
7,2.95237,0.00952,2.96892,0.00962
8,0.00348,0.00222,0.00341,0.00225
9,-0.16037,0.00613,-0.16121,0.00620
10,0.55422,0.00628,0.55691,0.00635
11,-0.29377,0.00867,-0.29766,0.00875
12,-0.12367,0.01128,-0.12257,0.01141
13,-0.68143,0.00614,-0.68495,0.00622
14,-0.08189,0.00737,-0.08374,0.00744
15,-0.68633,0.00784,-0.69096,0.00791
16,0.37243,0.00938,0.37655,0.00947
17,-0.29304,0.00347,-0.29478,0.00350
18,0.23275,0.00402,0.23377,0.00407
